"code","temp1997"
"USC00031948",227.972602739726
"USC00031962",228.542465753425
"USC00031968",212.825214899713
"USC00032020",236.725806451613
"USC00032148",227.062314540059
"USC00032355",231.616352201258
"USC00032356",192.063768115942
"USC00032366",217.268493150685
"USC00032444",194.515068493151
"USC00032540",220.287671232877
"USC00032794",218.476712328767
"USC00032810",239.394557823129
"USC00032930",205.961643835616
"USC00032962",218.933884297521
"USC00032978",208.025
"USC00033242",223.917355371901
"USC00033428",226.64738292011
"USC00033466",229.460055096419
"USC00033544",188.09972299169
"USC00033734",209.060273972603
"USC00033821",208.065753424658
"USC00033862",214.52602739726
"USC00033998",88.3269230769231
"USC00034106",210.035616438356
"USC00034134",213.401294498382
"USC00034185",226.473537604457
"USC00034548",229
"USC00034562",233.345205479452
"USC00034572",200.335211267606
"USC00034638",200.272727272727
"USC00034666",199.821917808219
"USC00034756",205.58904109589
"USC00034839",232.4859437751
"USC00034938",217.591780821918
"USC00034988",210.013698630137
"USC00035018",226.361643835616
"USC00035036",196.574175824176
"USC00035046",213.217514124294
"USC00035079",209.870317002882
"USC00035112",231.471232876712
"USC00035186",208.504109589041
"USC00035200",216.399449035813
"USC00035512",204.093150684932
"USC00035563",203.920547945205
"USC00035754",219.002754820937
"USC00035820",199.361643835616
"USC00035866",242.450276243094
"USC00035908",226.312328767123
"USC00036253",223.137362637363
"USC00036376",240.689655172414
"USC00036506",223.742465753425
"USC00036562",221.671232876712
"USC00036768",222.616438356164
"USC00036920",219.162087912088
"USC00036928",214.471232876712
"USC00037488",181.036496350365
"USC00037582",223.293628808864
"USC00037712",208.129120879121
"USC00038052",223.669934640523
"USC00040029",166.772853185596
"USC00040136",252.58940397351
"USC00040161",178.944751381215
"USC00040192",252.395604395604
"USC00040212",211.513736263736
"USC00040232",237.265753424658
"USC00040343",256.210526315789
"USC00040379",237.547945205479
"USC00040383",226.82967032967
"USC00040436",301.561983471074
"USC00040449",227.726351351351
"USC00040521",277.686111111111
"USC00040673",252.824657534247
"USC00040693",200.077639751553
"USC00040738",224.347945205479
"USC00040741",170.690410958904
"USC00040790",218.64364640884
"USC00040924",314.357357357357
"USC00040931",169.855371900826
"USC00040943",136.449315068493
"USC00040983",308.158904109589
"USC00041018",160.510135135135
"USC00041048",318.394520547945
"USC00041072",170.315625
"USC00041194",258.095890410959
"USC00041214",216.617647058824
"USC00041244",253.432876712329
"USC00041253",270.646575342466
"USC00041277",157.883656509695
"USC00041312",249.79696969697
"USC00041316",181.408219178082
"USC00041424",241.579661016949
"USC00041428",242.69696969697
"USC00041476",166.895348837209
"USC00041497",161.60989010989
"USC00041606",193.213888888889
"USC00041614",168.082191780822
"USC00041697",194.558904109589
"USC00041700",157.022471910112
"USC00041715",244.838356164384
"USC00041758",235.302521008403
"USC00041806",221.928571428571
"USC00041838",239.73698630137
"USC00041864",274.936464088398
"USC00041912",218.127329192547
"USC00041948",239.939226519337
"USC00041967",235.821917808219
"USC00042012",257.372602739726
"USC00042081",216.061452513966
"USC00042147",165.338888888889
"USC00042214",232.130434782609
"USC00042239",212.055921052632
"USC00042294",243.578947368421
"USC00042319",337.66301369863
"USC00042331",135.991452991453
"USC00042402",211.926380368098
"USC00042456",232.8173374613
"USC00042467",143.373626373626
"USC00042500",207.854395604396
"USC00042506",177.774725274725
"USC00042574",204.679452054795
"USC00042598",293.501377410468
"USC00042640",232.594520547945
"USC00042706",265.245487364621
"USC00042709",285.9921875
"USC00042713",312.860273972603
"USC00042728",298.148148148148
"USC00042771",264.032786885246
"USC00042805",274.046647230321
"USC00042863",263.911931818182
"USC00042934",238.967123287671
"USC00042941",228.687671232877
"USC00043083",256.147398843931
"USC00043157",159.528767123288
"USC00043161",165.014084507042
"USC00043182",201.034615384615
"USC00043191",181.237654320988
"USC00043244",220.697604790419
"USC00043261",259.506849315069
"USC00043384",238.38566552901
"USC00043417",254.218836565097
"USC00043463",212.450549450549
"USC00043551",139.487603305785
"USC00043573",203.454794520548
"USC00043578",228.706849315068
"USC00043647",171.725274725275
"USC00043710",270.522875816993
"USC00043714",175.035616438356
"USC00043747",248.197260273973
"USC00043761",211.773279352227
"USC00043791",216.974264705882
"USC00043824",221.596363636364
"USC00043855",298.824657534247
"USC00043859",210.295890410959
"USC00043875",238.930939226519
"USC00043896",311.587755102041
"USC00043914",243.167664670659
"USC00043939",187.619760479042
"USC00044025",227.150684931507
"USC00044176",143.528767123288
"USC00044211",196.475138121547
"USC00044223",309.498630136986
"USC00044227",327.088353413655
"USC00044232",279.102941176471
"USC00044259",307.843537414966
"USC00044278",277.616477272727
"USC00044297",314.97520661157
"USC00044374",154.376470588235
"USC00044412",224.836363636364
"USC00044500",233.718232044199
"USC00044523",251.405487804878
"USC00044555",238.734246575342
"USC00044577",162.071428571429
"USC00044647",242.383954154728
"USC00044671",163.148648648649
"USC00044701",223.851351351351
"USC00044712",250.18904109589
"USC00044713",159.766961651917
"USC00044735",244.861111111111
"USC00044838",157.961538461538
"USC00044881",170.097402597403
"USC00044890",265.457534246575
"USC00044957",261.662011173184
"USC00044997",232.087671232877
"USC00045026",132.835616438356
"USC00045032",242.506578947368
"USC00045064",236.931506849315
"USC00045107",237.164835164835
"USC00045118",251.07397260274
"USC00045120",244.978082191781
"USC00045123",226.963276836158
"USC00045233",251.715302491103
"USC00045280",136.175757575758
"USC00045311",143.575342465753
"USC00045356",170.222527472527
"USC00045360",244.901369863014
"USC00045378",237.542465753425
"USC00045385",260.641104294479
"USC00045449",182.087774294671
"USC00045502",330.671309192201
"USC00045532",254.094182825485
"USC00045679",153.134246575342
"USC00045721",234.339726027397
"USC00045756",245.98224852071
"USC00045790",273.20253164557
"USC00045795",197.879452054795
"USC00045802",207.602739726027
"USC00045866",187.68956043956
"USC00045890",219.471365638767
"USC00045915",210.523287671233
"USC00045933",162.780821917808
"USC00045941",153.313636363636
"USC00045983",164.364383561644
"USC00046006",190.720670391061
"USC00046074",231.98347107438
"USC00046136",196.249315068493
"USC00046144",217.180821917808
"USC00046154",237.972527472527
"USC00046161",273.84388185654
"USC00046165",211.366666666667
"USC00046168",253.436464088398
"USC00046174",245.194520547945
"USC00046175",201.826923076923
"USC00046252",242.872852233677
"USC00046336",200.832417582418
"USC00046377",200.682926829268
"USC00046399",262.417142857143
"USC00046498",177.644951140065
"USC00046506",242.402739726027
"USC00046508",211.652054794521
"USC00046521",248.927170868347
"USC00046569",218.958904109589
"USC00046599",184.236914600551
"USC00046610",234.965753424658
"USC00046624",267.219178082192
"USC00046635",316.26
"USC00046646",222.854395604396
"USC00046657",189.593837535014
"USC00046685",229.618784530387
"USC00046699",306.945054945055
"USC00046719",270.047091412742
"USC00046730",246.67397260274
"USC00046773",249.958791208791
"USC00046826",221.66301369863
"USC00046926",257.07182320442
"USC00046943",215.76171875
"USC00046960",232.44347826087
"USC00047077",267.697802197802
"USC00047085",166.980769230769
"USC00047109",222.347945205479
"USC00047150",242.838356164384
"USC00047195",199.264797507788
"USC00047228",255
"USC00047253",241.963483146067
"USC00047306",266.341692789969
"USC00047339",221.768595041322
"USC00047404",194.077348066298
"USC00047414",199.766483516484
"USC00047470",278.675213675214
"USC00047473",271.04132231405
"USC00047641",122.134693877551
"USC00047643",245.786703601108
"USC00047668",218.58904109589
"USC00047689",209.770833333333
"USC00047723",276.132307692308
"USC00047767",167.388732394366
"USC00047785",272.919402985075
"USC00047807",191.27397260274
"USC00047813",274.263313609467
"USC00047821",232.156164383562
"USC00047846",243.12602739726
"USC00047851",238.803519061584
"USC00047874",278.513888888889
"USC00047880",212.781163434903
"USC00047888",252.457300275482
"USC00047902",224.451790633609
"USC00047916",210.602739726027
"USC00047953",199.495890410959
"USC00047957",248.54103343465
"USC00047965",225.382920110193
"USC00048045",181.328767123288
"USC00048135",227.865013774105
"USC00048163",184.18275862069
"USC00048207",169.102209944751
"USC00048218",182.259689922481
"USC00048273",184.743902439024
"USC00048351",237.429362880886
"USC00048353",258.232786885246
"USC00048380",157.76
"USC00048490",191.564102564103
"USC00048560",251.701949860724
"USC00048587",240.512328767123
"USC00048606",181.791208791209
"USC00048655",278.395437262357
"USC00048702",174.272058823529
"USC00048752",258.882352941176
"USC00048758",140.038461538462
"USC00048826",170.527607361963
"USC00048829",207.692810457516
"USC00048839",258.115068493151
"USC00048873",157.391780821918
"USC00048917",259.348275862069
"USC00048928",227.97342192691
"USC00048999",247.592592592593
"USC00049001",238.224431818182
"USC00049026",209.805479452055
"USC00049035",260.042042042042
"USC00049043",155.597260273973
"USC00049053",154.605479452055
"USC00049073",245.865753424658
"USC00049087",280.52602739726
"USC00049099",293.364457831325
"USC00049105",123.003058103976
"USC00049122",225.022038567493
"USC00049152",234.18904109589
"USC00049200",254.86703601108
"USC00049325",262.068493150685
"USC00049367",244.065753424658
"USC00049378",244.670360110803
"USC00049440",234.906849315068
"USC00049452",261.962750716332
"USC00049473",211.10773480663
"USC00049490",208.298882681564
"USC00049621",232.024861878453
"USC00049671",233.978082191781
"USC00049684",208.353424657534
"USC00049694",230.621700879765
