State,Year,Ave_Temp
MD,1993,64.78264871
MD,1994,63.9668156
MD,1995,64.45485758
MD,1996,63.02537558
MD,1997,64.54575826
MD,1998,67.46685784
MD,1999,66.68901283
MD,2000,64.76007525
MD,2001,66.34607361
MD,2002,65.79228728
MD,2003,62.91853744
MD,2004,65.36582867
MD,2005,65.14624205
MD,2006,66.96830953
MD,2007,65.95384434
MD,2008,65.48273652
MD,2009,64.30169581
MD,2010,65.60435816
MD,2011,65.9261803
ME,1992,51.03804883
ME,1993,52.13391312
ME,1994,52.04391255
ME,1995,52.66946496
ME,1996,51.80644515
ME,1997,51.41734669
ME,1998,54.42295294
ME,1999,55.35943641
ME,2000,51.98853021
ME,2001,54.57073287
ME,2002,52.95512983
ME,2003,51.75488559
ME,2004,51.76837376
ME,2005,53.20837568
ME,2006,53.9372956
ME,2007,52.47035765
ME,2008,52.64027381
ME,2009,51.95348675
ME,2010,55.06308374
ME,2011,53.12084112
MI,1992,53.08551282
MI,1993,53.29249062
MI,1994,54.70600539
MI,1995,54.21832923
MI,1996,52.37878823
MI,1997,53.48172331
MI,1998,58.46704486
MI,1999,57.01625729
MI,2000,55.28896414
MI,2001,56.68166487
MI,2002,55.57613024
MI,2003,54.48280483
MI,2004,54.37783097
MI,2005,55.96773223
MI,2006,56.82176346
MI,2007,56.23679526
MI,2008,54.24798216
MI,2009,53.59028441
MI,2010,56.93540594
MI,2011,55.40780421
MN,1992,52.13803861
MN,1993,50.46239669
MN,1994,52.80626037
MN,1995,51.72886304
MN,1996,49.6860204
MN,1997,52.04199924
MN,1998,56.21651667
MN,1999,55.28914939
MN,2000,53.61437424
MN,2001,53.82915144
MN,2002,53.62805572
MN,2003,53.65657723
MN,2004,53.06186087
MN,2005,54.2861748
MN,2006,55.67675173
MN,2007,54.15190075
MN,2008,50.36411767
MN,2009,50.94085312
MN,2010,53.80070942
MN,2011,53.13644428
MO,1992,65.33293928
MO,1993,63.18763867
MO,1994,65.75978797
MO,1995,65.2839042
MO,1996,63.50088318
MO,1997,63.76339193
MO,1998,67.06995528
MO,1999,67.64395878
MO,2000,66.07903387
MO,2001,66.62552766
MO,2002,66.3113873
MO,2003,65.04614037
MO,2004,65.43919849
MO,2005,67.20239321
MO,2006,68.00005908
MO,2007,67.11546822
MO,2008,64.00254083
MO,2009,64.1179217
MO,2010,65.79925085
MO,2011,66.08670808
MS,1992,73.80751508
MS,1993,73.78127018
MS,1994,74.35556101
MS,1995,75.15777889
MS,1996,74.32401885
MS,1997,73.5399863
MS,1998,76.70071762
MS,1999,77.20619423
MS,2000,76.08157143
MS,2001,74.95762018
MS,2002,74.4837979
MS,2003,74.35343539
MS,2004,74.66506563
MS,2005,75.71963823
MS,2006,76.7151385
MS,2007,76.88596046
MS,2008,75.00957495
MS,2009,73.96741135
MS,2010,75.5623793
MS,2011,75.40130146
MT,1992,55.60221086
MT,1993,51.4373772
MT,1994,55.42614868
MT,1995,53.22859328
MT,1996,51.1709019
MT,1997,53.65943712
MT,1998,55.10516583
MT,1999,55.78690105
MT,2000,54.17218818
MT,2001,55.78550991
MT,2002,53.09051361
MT,2003,55.28562318
MT,2004,54.28019465
MT,2005,54.63512768
MT,2006,56.15579076
MT,2007,56.08964831
MT,2008,53.41653557
MT,2009,52.94065569
MT,2010,53.07412706
MT,2011,52.70734387
NC,1992,68.67327599
NC,1993,69.9211962
NC,1994,69.92576555
NC,1995,69.29927975
NC,1996,68.28462132
NC,1997,69.05959166
NC,1998,71.43435063
NC,1999,70.85936174
NC,2000,69.34776661
NC,2001,70.53557267
NC,2002,70.66688945
NC,2003,68.73443787
NC,2004,69.34202655
NC,2005,69.62256026
NC,2006,70.67511185
NC,2007,71.78970633
NC,2008,69.99347496
NC,2009,68.72708202
NC,2010,69.45088344
NC,2011,71.05956591
ND,1992,53.22560498
ND,1993,49.99335708
ND,1994,51.8335839
ND,1995,50.81913807
ND,1996,47.78391874
ND,1997,52.5623825
ND,1998,54.01753668
ND,1999,54.50289682
ND,2000,52.76462121
ND,2001,54.26780415
ND,2002,52.83272569
ND,2003,52.98452471
ND,2004,52.43031409
ND,2005,53.99811589
ND,2006,56.1958053
ND,2007,54.44421909
ND,2008,51.60570572
ND,2009,49.09277241
ND,2010,51.48642483
ND,2011,50.60942434
NE,1992,61.88121847
NE,1993,58.02001271
NE,1994,62.49743159
NE,1995,61.69378272
NE,1996,59.52363773
NE,1997,61.77394205
NE,1998,63.36500498
NE,1999,64.46933013
NE,2000,63.70838285
NE,2001,63.41114576
NE,2002,63.70743471
NE,2003,63.3697228
NE,2004,63.08226969
NE,2005,64.17095524
NE,2006,64.98093633
NE,2007,62.84280307
NE,2008,60.13966959
NE,2009,60.02311453
NE,2010,62.05070319
NE,2011,62.11890798
