state,temp1992,temp1993,temp1994,temp1995,temp1996,temp1997,temp1998,temp1999,temp2000,temp2001,temp2002,temp2003,temp2004,temp2005,temp2006,temp2007,temp2008,temp2009,temp2010,temp2011
LA,76.06328216,76.02929309,76.4987657,77.79329841,76.79444605,76.29298634,78.90595597,79.21613672,78.33021028,77.09338386,76.79644606,76.78319994,77.17890447,78.30771488,78.87532232,77.63907674,77.44514974,76.92549651,77.38413624,77.96839243
MA,57.53870126,58.81809706,59.276849,59.42369041,58.33613204,58.90517123,61.12379848,61.76475865,58.32357635,60.97727261,60.31909004,57.86910463,58.03424747,59.12914009,60.28875233,59.32759475,59.53095509,58.16722045,61.10569932,60.51276973
MD,62.54228592,64.78264871,63.9668156,64.45485758,63.02537558,64.54575826,67.46685784,66.68901283,64.76007525,66.34607361,65.79228728,62.91853744,65.36582867,65.14624205,66.96830953,65.95384434,65.48273652,64.30169581,65.60435816,65.9261803
ME,51.03804883,52.13391312,52.04391255,52.66946496,51.80644515,51.41734669,54.42295294,55.35943641,51.98853021,54.57073287,52.95512983,51.75488559,51.76837376,53.20837568,53.9372956,52.47035765,52.64027381,51.95348675,55.06308374,53.12084112
MI,53.08551282,53.29249062,54.70600539,54.21832923,52.37878823,53.48172331,58.46704486,57.01625729,55.28896414,56.68166487,55.57613024,54.48280483,54.37783097,55.96773223,56.82176346,56.23679526,54.24798216,53.59028441,56.93540594,55.40780421
MN,52.13803861,50.46239669,52.80626037,51.72886304,49.6860204,52.04199924,56.21651667,55.28914939,53.61437424,53.82915144,53.62805572,53.65657723,53.06186087,54.2861748,55.67675173,54.15190075,50.36411767,50.94085312,53.80070942,53.13644428
MO,65.33293928,63.18763867,65.75978797,65.2839042,63.50088318,63.76339193,67.06995528,67.64395878,66.07903387,66.62552766,66.3113873,65.04614037,65.43919849,67.20239321,68.00005908,67.11546822,64.00254083,64.1179217,65.79925085,66.08670808
MS,73.80751508,73.78127018,74.35556101,75.15777889,74.32401885,73.5399863,76.70071762,77.20619423,76.08157143,74.95762018,74.4837979,74.35343539,74.66506563,75.71963823,76.7151385,76.88596046,75.00957495,73.96741135,75.5623793,75.40130146
MT,55.60221086,51.4373772,55.42614868,53.22859328,51.1709019,53.65943712,55.10516583,55.78690105,54.17218818,55.78550991,53.09051361,55.28562318,54.28019465,54.63512768,56.15579076,56.08964831,53.41653557,52.94065569,53.07412706,52.70734387
NC,68.67327599,69.9211962,69.92576555,69.29927975,68.28462132,69.05959166,71.43435063,70.85936174,69.34776661,70.53557267,70.66688945,68.73443787,69.34202655,69.62256026,70.67511185,71.78970633,69.99347496,68.72708202,69.45088344,71.05956591
ND,53.22560498,49.99335708,51.8335839,50.81913807,47.78391874,52.5623825,54.01753668,54.50289682,52.76462121,54.26780415,52.83272569,52.98452471,52.43031409,53.99811589,56.1958053,54.44421909,51.60570572,49.09277241,51.48642483,50.60942434
NE,61.88121847,58.02001271,62.49743159,61.69378272,59.52363773,61.77394205,63.36500498,64.46933013,63.70838285,63.41114576,63.70743471,63.3697228,63.08226969,64.17095524,64.98093633,62.84280307,60.13966959,60.02311453,62.05070319,62.11890798
NH,52.89802284,54.23352951,54.16178689,54.67732177,53.3573795,53.57990146,56.8101028,56.76010457,52.6845977,56.30462384,55.28056426,53.21242219,53.86690857,54.87861969,55.51291996,53.84712771,54.33454579,53.49742219,56.05707341,55.46783031
NJ,61.84494757,63.35567838,64.10542963,63.77404033,62.10162978,63.24665624,65.92781764,65.38524741,62.68195654,64.99905486,65.47964271,62.06017587,62.58105977,64.19812435,65.79191226,63.84591994,63.9744023,62.37092551,64.78615228,63.87940697
NM,66.07462899,66.74388065,68.91321261,68.52865022,69.11269551,66.46041816,68.0740756,68.81699755,69.32152036,68.51571029,68.77366531,69.51342383,66.83983511,68.16296567,68.66824059,67.89630484,67.67290797,68.63382675,67.61980921,68.61456196
NV,64.39970235,61.26278648,64.00467833,63.5055762,64.17740165,63.30054245,61.24357407,64.33491469,64.55958313,64.51051572,64.1761263,65.08950779,63.46380472,62.76489869,63.74345442,64.96577875,63.63020231,63.38167307,61.85445474,62.33516804
NY,55.55400473,56.26083536,56.36043442,56.74656168,55.57723033,55.91355816,59.63932946,58.67169738,55.76233902,58.6699546,58.18664692,55.7266471,56.34913427,57.57908683,58.65032651,57.18725689,57.37317715,56.29589937,58.06271278,58.12082538
OH,59.67715258,60.19548071,61.27466632,60.48099972,59.19994088,59.62441775,63.91596122,63.29020802,60.6042339,62.28163954,62.34812251,59.71568883,60.72357021,61.81160659,62.27478377,62.57038559,60.91928608,60.43989533,61.56826205,61.95442204
OK,71.75317021,70.15842521,72.80309609,72.10056081,72.04977529,70.20932333,74.13000436,73.63697709,72.48466917,72.88117412,71.37209909,72.21330632,71.60760345,72.91049876,75.18782371,70.95829372,71.82232815,71.46411866,72.17701012,69.26074543
OR,61.41126662,57.0919544,60.04803389,58.82810886,58.77058454,58.87852201,58.30003285,58.62134447,58.76091784,59.32240054,59.72824324,60.49332706,59.69845378,59.15607423,59.4214367,59.20724249,58.00116133,58.37910541,57.37373868,56.55199331
PA,59.13732943,60.28336741,60.51513191,60.08719985,58.9585537,59.80512403,63.4163665,62.48191618,60.41393836,61.97063687,62.06388004,58.70834846,60.1472676,61.08736574,61.98940224,60.93130209,60.39306476,59.50302437,61.50353731,61.24335914
RI,58.71639344,59.96164384,60.25194521,60.32657534,58.78244005,59.62564384,62.07216438,62.53342466,59.7904918,61.71775342,61.62487671,58.99079452,58.66632904,60.01671233,61.6409863,60.55539726,60.72442623,59.1300274,61.73369863,61.56980822
SC,72.47255593,73.61963886,73.58361196,73.21632789,72.60981142,72.72080293,75.39909485,74.80075951,73.49077698,74.7591669,74.2067172,72.56861488,73.10095809,73.64778183,75.1064648,75.72031038,74.05964869,72.72549686,73.56245199,74.82143499
SD,57.9826918,54.07884086,57.43479894,56.03496537,53.26063026,56.58650799,58.85620561,60.42955441,58.5205185,58.48743132,58.52282144,58.87586754,58.78775427,59.84815256,60.89417359,59.22491911,56.04086519,55.02341759,56.7326826,56.13003656
TN,67.31684836,68.12582654,67.99046665,68.78125906,67.36411905,67.01357434,70.45029704,71.17739391,69.21870289,69.420295,69.08156872,67.97863433,68.85887987,69.60281148,70.23587764,71.79220074,68.88376318,67.7920612,69.04873972,69.77779018
TX,76.6366441,76.6451117,78.12612697,77.93415951,78.65893001,76.03553742,79.68025959,79.94311077,79.07802449,77.71460233,77.09617304,77.93096122,76.73917427,78.68972215,80.3630529,76.83465513,78.99314678,78.6944471,77.4713883,81.09333047
UT,84.05473366,89.31881454,60.28091588,59.28218627,59.81461257,58.31215765,58.12448807,59.86723286,60.09389764,60.19072281,59.50645835,60.56465749,58.16564691,58.94702683,58.99650932,60.07254409,57.82865723,57.88717434,57.40753171,56.88901451
VA,65.60654885,66.95462443,67.18963157,66.36217621,64.64170714,66.15660904,68.89847164,68.26712398,66.48001178,68.00409824,68.05196359,65.43343135,66.67360361,67.21366001,68.26577465,68.54587659,67.25369963,66.01276299,67.49542184,68.29003063
VT,51.96176097,52.61379941,52.39795691,53.34089705,51.10223141,52.52631526,55.96892847,55.84753955,52.65516825,55.37949141,53.29511446,51.4671478,53.09787213,54.76099031,55.12129498,53.0357704,53.91882325,52.93253027,54.85983354,54.92476237
WA,58.80691347,55.27228162,58.3716373,57.38187863,55.75389473,56.60169144,58.02658758,56.63329151,56.02808517,56.81305035,57.14198945,58.16901152,57.99963035,57.15617495,57.52202052,56.09813727,55.14833578,55.76420549,55.79795085,54.5466601
WI,52.98522337,52.18692468,53.91973251,53.38583245,51.26557105,53.13992458,57.81100162,56.29932999,54.74505602,56.15125771,55.01618908,54.44865174,54.08789199,55.9552497,56.51129422,55.5712055,52.67280935,52.88891993,55.82896639,53.32532001
WV,61.90668384,62.91191609,63.46640515,62.08550413,61.54328776,61.79671619,65.16501726,65.19427969,62.88885181,64.1341447,64.08841193,61.70580854,62.99638999,63.69268298,64.14651455,64.91689551,63.00266388,62.13742457,62.64415598,63.65643604
WY,53.47373598,49.31838619,54.0962613,51.62887076,51.38281756,51.25813048,52.0926373,53.56524255,53.1483105,53.85535914,52.13570737,53.79992442,52.63735089,53.7479524,54.16637046,54.32169725,51.48594981,51.77823978,52.39488579,51.12802628
